file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-generic\src\main\java\org\apache\dubbo\samples\generic\api\IUserService.java,org.apache.dubbo.samples.generic.api.IUserService$User,getName/0,false,55,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-generic\src\main\java\org\apache\dubbo\samples\generic\api\IUserService.java,org.apache.dubbo.samples.generic.api.IUserService$User,getId/0,false,47,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-callback\src\main\java\org\apache\dubbo\samples\callback\CallbackProvider.java,org.apache.dubbo.samples.callback.CallbackProvider,main/1[java.lang.String[]],false,29,2,2,0,2,1,3,6,0,1,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,13,9,0,false
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-http\src\main\java\org\apache\dubbo\samples\http\impl\DemoServiceImpl.java,org.apache.dubbo.samples.http.impl.DemoServiceImpl,sayHello/1[java.lang.String],false,32,0,0,0,0,1,5,4,1,0,1,5,0,0,0,0,0,0,6,0,0,2,0,0,0,0,9,1,0,false
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-metadata-report\dubbo-samples-metadata-report-configcenter\src\main\java\org\apache\dubbo\samples\metadatareport\configcenter\ZkUtil.java,org.apache.dubbo.samples.metadatareport.configcenter.ZkUtil,getNodePath/1[org.apache.dubbo.samples.metadatareport.configcenter.MetadataIdentifier],false,36,2,3,2,1,1,2,3,1,0,1,2,1,1,0,0,0,0,2,0,0,1,0,0,0,0,9,9,0,false
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-metadata-report\dubbo-samples-metadata-report-configcenter\src\main\java\org\apache\dubbo\samples\metadatareport\configcenter\ZkUtil.java,org.apache.dubbo.samples.metadatareport.configcenter.ZkUtil,toRootDir/1[java.lang.String],false,29,0,1,1,0,2,1,6,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,8,0,false
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-spring-hystrix\src\main\java\org\apache\dubbo\samples\annotation\AnnotationProvider.java,AnnotationProvider,main/1[String[]],false,37,3,0,0,0,1,2,6,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,9,0,false
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-governance\dubbo-samples-applevel-override\src\main\java\org\apache\dubbo\samples\governance\impl\DemoServiceImpl.java,org.apache.dubbo.samples.governance.impl.DemoServiceImpl,sayHello/1[java.lang.String],false,31,0,0,0,0,1,5,4,1,0,1,5,0,0,0,0,0,0,6,0,0,2,0,0,0,0,9,1,0,false
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-metadata-report\dubbo-samples-metadata-report-local-annotaion\src\main\java\org\apache\dubbo\samples\metadatareport\local\annotation\AnnotationProvider.java,org.apache.dubbo.samples.metadatareport.local.annotation.AnnotationProvider,printServiceData/0,false,72,6,2,1,1,1,7,8,0,2,0,7,0,0,0,0,0,0,8,1,2,0,0,0,0,0,20,10,0,false
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-metadata-report\dubbo-samples-metadata-report-local-annotaion\src\main\java\org\apache\dubbo\samples\metadatareport\local\annotation\AnnotationProvider.java,org.apache.dubbo.samples.metadatareport.local.annotation.AnnotationProvider,main/1[java.lang.String[]],false,42,4,4,0,4,1,5,9,0,2,1,5,1,1,0,0,0,0,0,1,2,0,0,0,0,0,15,9,0,false
